id,term,def
,KIBO,"1. [acronym] Knowledge In, Bullshit Out. A summary of what happens whenever valid data is passed through an organization (or person) that deliberately or accidentally disregards or ignores its significance. Consider, for example, what an advertising campaign can do with a product's actual specifications. Compare [[bu;#fff;;jargon]GIGO]; see also [[bu;#fff;;jargon]SNAFU principle]. 2. James Parry <kibo@world.std.com>, a Usenetter infamous for various surrealist net.pranks and an uncanny, machine-assisted knack for joining any thread in which his nom de guerre is mentioned. He has a website at http://www.kibo.com/."
,kiboze,"[Usenet] To [[bu;#fff;;jargon]grep] the Usenet news for a string, especially with the intention of posting a follow-up. This activity was popularised by Kibo (see [[bu;#fff;;jargon]KIBO], sense 2)."
,kibozo,"[Usenet] One who [[bu;#fff;;jargon]kiboze]s but is not Kibo (see [[bu;#fff;;jargon]KIBO], sense 2)."
,kick,"1. [IRC] To cause somebody to be removed from a [[bu;#fff;;jargon]IRC] channel, an option only available to channel ops. This is an extreme measure, often used to combat extreme [[bu;#fff;;jargon]flamage] or [[bu;#fff;;jargon]flood]ing, but sometimes used at the [[bu;#fff;;jargon]CHOP]'s whim. 2. To reboot a machine or kill a running process. [[i;;]The server's down, let me go kick it.]"
,"kill file","[Usenet; very common] (alt.: [[b;#fff;]KILL file]) Per-user file(s) used by some [[bu;#fff;;jargon]Usenet] reading programs (originally Larry Wall's rn1) to discard summarily (without presenting for reading) articles matching some particularly uninteresting (or unwanted) patterns of subject, author, or other header lines. Thus to add a person (or subject) to one's kill file is to arrange for that person to be ignored by one's newsreader in future. By extension, it may be used for a decision to ignore the person or subject in other media. See also [[bu;#fff;;jargon]plonk]."
,"killer app","The application that actually makes a sustaining market for a promising but under-utilized technology. First used in the mid-1980s to describe Lotus 1-2-3 once it became evident that demand for that product had been the major driver of the early business market for IBM PCs. The term was then retrospectively applied to VisiCalc, which had played a similar role in the success of the Apple II. After 1994 it became commonplace to describe the World Wide Web as the Internet's killer app. One of the standard questions asked about each new personal-computer technology as it emerges has become [[i;;]what's the killer app?]"
,"killer micro","[popularized by Eugene Brooks c.1990] A microprocessor-based machine that infringes on mini, mainframe, or supercomputer performance turf. Often heard in [[i;;]No one will survive the attack of the killer micros!], the battle cry of the downsizers.The popularity of the phrase ‘attack of the killer micros’ is doubtless reinforced by the title of the movie Attack Of The Killer Tomatoes (one of the [[bu;#fff;;jargon]canonical] examples of so-bad-it's-wonderful among hackers). This has even more [[bu;#fff;;jargon]flavor] now that killer micros have gone on the offensive not just individually (in workstations) but in hordes (within massively parallel computers).[2002 update: Eugene Brooks was right. Since this term first entered the Jargon File in 1990, the minicomputer has effectively vanished, the [[bu;#fff;;jargon]mainframe] sector is in deep and apparently terminal decline, and even the supercomputer business has contracted into a smaller niche. It's networked killer micros as far as the eye can see. —ESR]"
,"killer poke","A recipe for inducing hardware damage on a machine via insertion of invalid values (see [[bu;#fff;;jargon]poke]) into a memory-mapped control register; used esp. of various fairly well-known tricks on [[bu;#fff;;jargon]bitty box]es without hardware memory management (such as the IBM PC and Commodore PET) that can overload and trash analog electronics in the monitor. See also [[bu;#fff;;jargon]HCF]."
,kilo-,"[SI] See [[bu;#fff;;jargon]quantifiers]."
,kilogoogle,"The standard unit of measurement for Web search hits: a thousand Google matches. [[i;;]There are about a kilogoogle and a half sites with that band's name on it.] Compare [[bu;#fff;;jargon]google juice]."
,KIPS,"[abbreviation, by analogy with [[bu;#fff;;jargon]MIPS] using [[bu;#fff;;jargon]K]] Thousands ([[b;#fff;]not] 1024s) of Instructions Per Second. Usage: rare."
,"KISS Principle","[[i;;]Keep It Simple, Stupid]. A maxim often invoked when discussing design to fend off [[bu;#fff;;jargon]creeping featurism] and control development complexity. Possibly related to the [[bu;#fff;;jargon]marketroid] maxim on sales presentations, [[i;;]Keep It Short and Simple]."
,kit,"[Usenet; poss.: fr.: [[bu;#fff;;jargon]DEC] slang for a full software distribution, as opposed to a patch or upgrade] A source software distribution that has been packaged in such a way that it can (theoretically) be unpacked and installed according to a series of steps using only standard Unix tools, and entirely documented by some reasonable chain of references from the top-level [[bu;#fff;;jargon]README file]. The more general term [[bu;#fff;;jargon]distribution] may imply that special tools or more stringent conditions on the host environment are required."
,KLB,"[common among Perl hackers] Known Lazy Bastard. Used to describe somebody who perpetually asks questions which are easily answered by referring to the reference material or manual."
,klone,"See [[bu;#fff;;jargon]clone], sense 4."
,kludge,"1. [[b;#fff;]/kluhj/] [[b;#fff;]n.] Incorrect (though regrettably common) spelling of [[bu;#fff;;jargon]kluge] (US). These two words have been confused in American usage since the early 1960s, and widely confounded in Great Britain since the end of World War II. 2. [TMRC] A [[bu;#fff;;jargon]crock] that works. (A long-ago Datamation article by Jackson Granholme similarly said: [[i;;]An ill-assorted collection of poorly matching parts, forming a distressing whole.]) 3. [[b;#fff;]v.] To use a kludge to get around a problem. [[i;;]I've kludged around it for now, but I'll fix it up properly later.]This word appears to have derived from Scots [[b;#fff;]kludge] or [[b;#fff;]kludgie] for a common toilet, via British military slang. It apparently became confused with U.S. [[bu;#fff;;jargon]kluge] during or after World War II; some Britons from that era use both words in definably different ways, but [[bu;#fff;;jargon]kluge] is now uncommon in Great Britain. ‘Kludge’ in Commonwealth hackish differs in meaning from ‘kluge’ in that it lacks the positive senses; a kludge is something no Commonwealth hacker wants to be associated too closely with. Also, ‘kludge’ is more widely known in British mainstream slang than ‘kluge’ is in the U.S."
,kluge,"[from the German ‘klug’, clever; poss. related to Polish & Russian ‘klucz’ (a key, a hint, a main point)] 1. [[b;#fff;]n.] A Rube Goldberg (or Heath Robinson) device, whether in hardware or software. 2. [[b;#fff;]n.] A clever programming trick intended to solve a particular nasty case in an expedient, if not clear, manner. Often used to repair bugs. Often involves [[bu;#fff;;jargon]ad-hockery] and verges on being a [[bu;#fff;;jargon]crock]. 3. [[b;#fff;]n.] Something that works for the wrong reason. 4. [[b;#fff;]vt.] To insert a kluge into a program. [[i;;]I've kluged this routine to get around that weird bug, but there's probably a better way.] 5. [WPI] [[b;#fff;]n.] A feature that is implemented in a [[bu;#fff;;jargon]rude] manner.Nowadays this term is often encountered in the variant spelling ‘kludge’. Reports from [[bu;#fff;;jargon]old fart]s are consistent that ‘kluge’ was the original spelling, reported around computers as far back as the mid-1950s and, at that time, used exclusively of [[b;#fff;]hardware] kluges. In 1947, the New York Folklore Quarterly reported a classic shaggy-dog story ‘Murgatroyd the Kluge Maker’ then current in the Armed Forces, in which a ‘kluge’ was a complex and puzzling artifact with a trivial function. Other sources report that ‘kluge’ was common Navy slang in the WWII era for any piece of electronics that worked well on shore but consistently failed at sea.However, there is reason to believe this slang use may be a decade older. Several respondents have connected it to the brand name of a device called a [[i;;]Kluge paper feeder], an adjunct to mechanical printing presses. Legend has it that the Kluge feeder was designed before small, cheap electric motors and control electronics; it relied on a fiendishly complex assortment of cams, belts, and linkages to both power and synchronize all its operations from one motive driveshaft. It was accordingly temperamental, subject to frequent breakdowns, and devilishly difficult to repair — but oh, so clever! People who tell this story also aver that ‘Kluge’ was the name of a design engineer.There is in fact a Brandtjen & Kluge Inc., an old family business that manufactures printing equipment — interestingly, their name is pronounced [[b;#fff;]/kloo´gee/]! Henry Brandtjen, president of the firm, told me (ESR, 1994) that his company was co-founded by his father and an engineer named Kluge [[b;#fff;]/kloo´gee/], who built and co-designed the original Kluge automatic feeder in 1919. Mr. Brandtjen claims, however, that this was a [[b;#fff;]simple] device (with only four cams); he says he has no idea how the myth of its complexity took hold. Other correspondents differ with Mr. Brandtjen's history of the device and his allegation that it was a simple rather than complex one, but agree that the Kluge automatic feeder was the most likely source of the folklore.[[bu;#fff;;jargon]TMRC] and the MIT hacker culture of the early '60s seems to have developed in a milieu that remembered and still used some WWII military slang (see also [[bu;#fff;;jargon]foobar]). It seems likely that ‘kluge’ came to MIT via alumni of the many military electronics projects that had been located in Cambridge (many in MIT's venerable Building 20, in which [[bu;#fff;;jargon]TMRC] is also located) during the war.The variant ‘kludge’ was apparently popularized by the [[bu;#fff;;jargon]Datamation] article mentioned under [[bu;#fff;;jargon]kludge]; it was titled How to Design a Kludge (February 1962, pp. 30, 31). This spelling was probably imported from Great Britain, where [[bu;#fff;;jargon]kludge] has an independent history (though this fact was largely unknown to hackers on either side of the Atlantic before a mid-1993 debate in the Usenet group alt.folklore.computers over the First and Second Edition versions of this entry; everybody used to think [[bu;#fff;;jargon]kludge] was just a mutation of [[bu;#fff;;jargon]kluge]). It now appears that the British, having forgotten the etymology of their own ‘kludge’ when ‘kluge’ crossed the Atlantic, repaid the U.S. by lobbing the ‘kludge’ orthography in the other direction and confusing their American cousins' spelling!The result of this history is a tangle. Many younger U.S. hackers pronounce the word as [[b;#fff;]/klooj/] but spell it, incorrectly for its meaning and pronunciation, as ‘kludge’. (Phonetically, consider huge, refuge, centrifuge, and deluge as opposed to sludge, judge, budge, and fudge. Whatever its failings in other areas, English spelling is perfectly consistent about this distinction.) British hackers mostly learned [[b;#fff;]/kluhj/] orally, use it in a restricted negative sense and are at least consistent. European hackers have mostly learned the word from written American sources and tend to pronounce it [[b;#fff;]/kluhj/] but use the wider American meaning!Some observers consider this mess appropriate in view of the word's meaning."
